BTC positions,BTC returns,ETH positions,ETH returns,LTC positions,LTC returns
-1,0.04802369636247872,-1,0.06055970869580607,-1,0.02643856271255629
1,0.06490321083304851,0,0.0,0,0.0
-1,-0.03361249682356815,-1,-0.008848278139395482,0,0.0
0,0.0,0,0.0,0,0.0
1,-0.016849481731876503,0,0.0,0,0.0
0,0.0,1,0.008638953379535685,0,0.0
-1,-0.14604730887387385,-1,-0.31561358244590865,-1,-0.3042600347322244
1,-0.010314382734315841,1,0.008463404477175418,1,0.059419028949198704
-1,0.14041537261509673,1,0.01297744119459443,1,0.054781300128298405
-1,0.028311534418042683,-1,0.033235274501907996,-1,0.022998084582767975
1,-0.018768065736456396,1,-0.023206296478990862,1,-0.048440410084095276
-1,0.023730802303475018,0,0.0,0,0.0
-1,0.013653208565100217,-1,0.015384648502819953,-1,0.0018934115035467158
-1,-0.009043994195765293,0,0.0,-1,-0.007411287405854616
0,0.0,0,0.0,1,-0.01244863105481997
0,0.0,0,0.0,0,0.0
-1,0.0019391768337315707,-1,-0.0026280763438464305,-1,-0.012296486784706295
0,0.0,0,0.0,-1,0.0699921534511343
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
1,0.00902817674022205,0,0.0,1,0.025880319113494643
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,-1,0.011030796392903719
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
1,0.03450389227136896,1,-0.011732182563852667,1,-0.03214696536000139
1,-0.06772118471829247,0,0.0,-1,0.018029285507449977
1,0.0033162052092294836,0,0.0,-1,0.025292355733333105
0,0.0,-1,-0.01761301901717849,-1,-0.017538921211411762
-1,-0.009064256527628767,0,0.0,0,0.0
0,0.0,0,0.0,1,-0.008949071954615806
0,0.0,0,0.0,-1,0.002666823800050677
-1,-0.006629131604207639,0,0.0,0,0.0
-1,-0.039306396688033374,-1,-0.054993725385178105,-1,-0.058049770634641895
-1,0.0705239261762507,-1,0.06688550452916808,-1,0.06615910801530522
-1,0.04762019200104306,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,1,-0.006257995667222516,1,-0.015615583334812944
1,0.01742435099205486,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
-1,-0.018336301504727537,-1,0.004558210318373668,-1,0.020733254053096006
0,0.0,0,0.0,0,0.0
-1,0.016001185065528167,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
1,-0.0166290958449129,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
-1,-0.0037523109278835287,-1,-0.02310701723826447,-1,-0.02926162322846948
-1,0.01650656493912095,0,0.0,-1,0.0027022264714873234
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
1,0.022242024800861238,1,-0.01125000800122511,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,1,-0.003204780856552625,0,0.0
0,0.0,0,0.0,1,-0.013448070631855269
0,0.0,0,0.0,-1,0.02224998518673793
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,-1,0.0019283116345534257,-1,-0.03395222920745922
-1,-0.08201053578454853,-1,-0.12628024160010154,-1,-0.12422614111882602
0,0.0,0,0.0,0,0.0
-1,-0.0038211676721849885,-1,0.03004206141892385,-1,0.008627029612316539
0,0.0,1,-0.0042028679179385575,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,-1,0.026894188889973636,-1,0.025933441688600567
0,0.0,1,0.013232309777229112,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
-1,0.01237738560795365,-1,0.026639418382408797,0,0.0
0,0.0,0,0.0,0,0.0
-1,0.0033963517704234114,0,0.0,-1,0.008275988739049334
1,0.0039038565302602635,1,0.0036437012810357494,1,-0.007972908032321757
0,0.0,0,0.0,0,0.0
1,0.008584040472943366,1,0.011807480673781345,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,-1,-0.005597609063855535,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,-1,0.014527355928355412
0,0.0,0,0.0,-1,0.012818439006476945
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
1,-0.006625224944723174,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
-1,-0.03025454066646971,-1,-0.0004045664951087824,-1,-0.02092690344102699
1,0.1156617801157318,1,0.059924950378599906,1,0.07869784147930647
1,0.027665574740445953,1,-0.057641037526301786,1,-0.057241467526360834
1,-0.010652902969980893,0,0.0,1,-0.015369233640425084
0,0.0,0,0.0,0,0.0
0,0.0,1,-0.002723096154695126,0,0.0
-1,0.013066202656384363,-1,0.008352192336517739,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,1,-0.010445571036247991
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,-1,0.006887400984248115
-1,-0.007039928509103288,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
-1,0.005424576674173176,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0
