Dates,BTC allocations,BTC returns,BTC positions,ETH allocations,ETH returns,ETH positions,LTC allocations,LTC returns,LTC positions
2019-07-01,-1,0.0,0,0,0.0,0,-1,0.0,0
2019-07-02,-1,-0.07750374665534165,-1,0,0.0,0,0,0.0,0
2019-07-03,-1,0.0,0,0,0.0,0,0,0.0,0
2019-07-04,-1,0.03348145575201711,-1,0,0.0,0,0,0.0,0
2019-07-05,-1,0.0,0,0,0.0,0,0,0.0,0
2019-07-06,0,0.0,0,0,0.0,0,0,0.0,0
2019-07-07,-1,0.0,0,0,0.0,0,0,0.0,0
2019-07-08,-1,0.0,0,0,0.0,0,0,0.0,0
2019-07-16,-1,0.10287456403206441,-1,-1,0.09879789660727745,-1,1,0.0,0
2019-07-17,-1,0.0,0,-1,0.0,0,1,0.05967167304336618,1
2019-07-18,-1,-0.14034906028838723,-1,-1,0.0,0,0,0.0,0
2019-07-19,-1,-0.028532218493813488,-1,-1,-0.03353293314726291,-1,0,0.0,0
2019-07-20,-1,0.0,0,-1,0.0,0,0,0.0,0
2019-07-21,-1,-0.023900438421983194,-1,-1,0.0,0,0,0.0,0
2019-07-22,-1,-0.014140392813828173,-1,-1,-0.016166597028239416,-1,0,0.0,0
2019-07-23,-1,0.00865519487521793,-1,-1,0.0,0,0,0.0,0
2019-07-24,-1,0.0,0,-1,0.0,0,0,0.0,0
2019-07-25,-1,0.0,0,0,0.0,0,0,0.0,0
2019-07-26,-1,0.0,0,0,0.0,0,0,0.0,0
2019-07-27,-1,-0.0019423889321037446,-1,1,0.0,0,0,0.0,0
2019-07-28,-1,0.0,0,0,0.0,0,0,0.0,0
2019-07-29,-1,0.0,0,0,0.0,0,0,0.0,0
2019-07-30,-1,0.0,0,0,0.0,0,0,0.0,0
2019-07-31,0,0.0,0,0,0.0,0,0,0.0,0
2019-08-01,0,0.0,0,0,0.0,0,0,0.0,0
2019-08-02,0,0.0,0,0,0.0,0,0,0.0,0
2019-08-03,0,0.0,0,0,0.0,0,0,0.0,0
2019-08-04,0,0.0,0,0,0.0,0,0,0.0,0
2019-08-05,-1,0.0,0,0,0.0,0,0,0.0,0
2019-08-06,-1,-0.010313064638399538,-1,0,0.0,0,0,0.0,0
2019-08-07,-1,0.0,0,0,0.0,0,0,0.0,0
2019-08-08,-1,0.0,0,0,0.0,0,0,0.0,0
