Date,SMA5-20,SMA8-15,SMA20-50,EMA5-20,EMA8-15,EMA20-50,MACD12-26,AO14,ADX14,WD14,PPO12_26,RSI14,MFI14,TSI,SO14,CMO14,ATRP14,PVO14,FI13,FI50,ADL,OBV,Open,High,Low,Close,Volume
2015-09-02,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.36,1.37,1.14,1.14,649.62
2015-09-03,,,,,,,,,,,,,,,,,,,,,-182.99631578947367,3477.93,1.14,1.33,1.14,1.23,3476.93
2015-09-04,,,,,,,,,,,,,,,,,,,,,-182.99631578947367,3477.93,1.23,1.23,1.23,1.23,0.0
2015-09-05,,,,,,,,,,,,,,,,,,,,,10196.193684210526,13857.12,1.23,1.37,1.23,1.37,10379.19
2015-09-06,,,,,,,,,,,,,,,,,,,,,10098.103684210526,13759.03,1.37,1.39,1.34,1.34,98.09
2015-09-07,,,,,,,,,,,,,,,,,,,,,10004.593684210526,13665.52,1.34,1.34,1.28,1.28,93.51
2015-09-08,,,,,,,,,,,,,,,,,,,,,9900.663684210525,13561.59,1.28,1.28,1.26,1.26,103.93
2015-09-09,,,,,,,,,,,,,,,,,,,,,9897.033684210526,13557.960000000001,1.26,1.26,1.21,1.21,3.63
2015-09-10,,,,,,,,,,,,,,,,,,,,,10229.155906432748,12960.140000000001,1.21,1.21,1.12,1.19,597.82
2015-09-11,,,,,,,,,,,,,,,,,,,,,8150.835906432749,10881.820000000002,1.19,1.19,0.9242,0.9242,2078.32
2015-09-12,,,,,,,,,,,,,,,,,,,,,8411.845906432749,11142.830000000002,0.9242,1.15,0.9242,1.15,261.01
2015-09-13,,,,,,,,,,,,,,,,,,,,,4743.105294341123,7420.980000000001,1.15,1.15,0.8837,0.8856,3721.85
2015-09-14,,,,,,,,,,,,,,,,,,,,,5398.063739936976,8226.12,0.8856,0.9622,0.885,0.955,805.14
2015-09-15,,,,,,,,-57.14285714285714,67.76916024022047,-7.394015915732302,,,,,0.1329479768786125,-15.317639471138339,50.98947368421053,,-98.39801181516506,,6511.075984834934,5953.720000000001,0.955,1.0,0.804,0.95,2272.4
2015-09-16,,-9.817768355120787,,,-7.902797649232418,,,-57.14285714285714,67.76916024022047,-6.606885990116034,,41.87863806713979,65.09814637992699,,0.10466556564822453,-25.22979125504682,51.73555484353306,,-91.39447145187597,,6471.9959848349345,5914.640000000001,0.95,0.9563,0.9363,0.9363,39.08
2015-09-17,,-12.136008364063114,,,-8.71913808011133,,,-85.71428571428572,70.24663665127844,-8.251360476507159,,39.78440113043732,64.02718708307198,,0.0,-28.97013220173005,55.79407678244973,,-78.76919439382752,,6468.172349279379,5872.050000000001,0.9363,0.9363,0.8238,0.875,42.59
2015-09-18,,-13.972416567124164,,,-9.189544538309624,,,-92.85714285714286,71.4819810535046,-7.305619801979393,,39.00650717846334,75.48836878796094,,0.0,-46.71961014348888,58.2438792027994,,-101.93734421026237,,5913.562349279379,5317.440000000001,0.875,0.88,0.8523,0.8523,554.61
2015-09-19,,-12.5511874237634,,,-7.895108998659561,,,-85.71428571428572,72.81240965722927,-7.624320800122176,,41.06743641252909,73.99941251103037,,0.0773016198482675,-40.329808209356536,55.5508686542756,,-87.29025894633615,,5916.632349279379,5320.510000000001,0.8523,0.89,0.8013,0.89,3.07
2015-09-20,,-13.004475313592767,,,-7.228367292380859,,,-78.57142857142857,73.69532163758338,-7.0938170573050545,,40.952804758870954,39.96905968120069,,0.08136544306757083,-37.111551903277615,54.23620205108309,,-74.70107533788799,,5921.659749279379,5308.540000000001,0.89,0.89,0.88,0.8871,11.97
2015-09-21,-17.278465997106505,-10.033532630525388,,-9.316782677068444,-4.895013808456102,,,-71.42857142857143,70.52218937306203,-5.431936078074813,,44.088214313996936,40.54336094495622,,0.21805248957566858,-29.17276720351391,49.74187251677573,,-63.77054088047955,,5938.80749172771,5332.350000000001,0.8871,0.95,0.8871,0.9412,23.81
2015-09-22,-17.278595257671558,-9.034602993352626,,-10.865258830651932,-5.020170878451375,,,-92.85714285714286,69.22136641658936,-6.655710671458806,,38.57187502630085,40.93620378204111,,0.0,-34.30099312452254,56.823207872399806,,-54.72969912689441,,5935.52749172771,5329.0700000000015,0.9412,0.9412,0.8059,0.8059,3.28
2015-09-23,-14.901211940928679,-7.340070739281191,,-8.090557412314185,-3.5093353336453736,,,-85.71428571428572,68.2169534912445,-6.2114888443604785,,44.342101772708084,41.48385272564169,,0.27102317104920615,-22.18348914593566,49.13214722783185,,-46.63340699051683,,5936.20489172771,5329.747400000001,0.8059,0.91,0.8059,0.91,0.6774
2015-09-24,-14.872186786592613,-6.448887662514521,,-9.43434124004849,-3.6955584152219823,,,-85.71428571428572,67.48423796432392,-5.961073930828679,,40.05994459929544,41.499647803161885,,0.0,-11.225596529284164,54.23136852699674,,-32.093177765517446,,5693.00489172771,5086.547400000001,0.91,0.91,0.8,0.8,243.2
2015-09-25,-16.057369112137447,-5.60361177844388,,-13.333881054275318,-5.013756708009195,,,-92.85714285714286,67.89906559745882,-7.70329076059123,,36.04849011024018,43.643464570754,,0.0,-46.84964439547229,64.22222304938231,,-68.2589873332624,,3663.63489172771,3057.1774000000014,0.8,0.8,0.6823,0.6823,2029.37
2015-09-26,-17.12955228867357,-5.6673688962455815,,-12.76882944296615,-4.948507650568311,,,-78.57142857142858,68.25367889789871,-7.425581146566328,,40.82001576127104,39.63121804108448,,0.32269893656032267,-14.02847061686337,54.28030494568561,,-36.56242353699796,,3666.56489172771,3060.1074000000012,0.6823,0.7703,0.6805,0.7703,2.93
2015-09-27,-16.808785529715767,-5.130121945521651,,-13.4786346327016,-5.39844538241502,,-12.028055087157403,-78.57142857142857,68.55050097206224,-7.089589451523388,-12.028055087157403,38.384192968182056,40.89619310389402,,0.06784011734506772,-30.92457420924573,57.26661952146744,-76.69837841885578,-32.61503061999797,,3663.7729377047212,3057.307400000001,0.7703,0.7703,0.7007,0.7008,2.8
2015-09-28,-20.665327081937924,-7.259461461270126,,-17.53529338927298,-7.61239270059406,,-13.523758008889871,-92.85714285714286,69.39626628182316,-8.699601611588156,-13.523758008889871,35.111658174354844,69.91753731317083,,0.0,-38.13466986271518,65.94109132024684,-57.370688417594366,-76.69167590797218,,720.3629377047214,113.8974000000012,0.7008,0.7047,0.6,0.6,2943.41
2015-09-29,-20.978168349858528,-9.15802992802944,,-15.988893722680034,-7.833923980371463,,-13.36823526698713,-50.00000000000001,70.53699176618787,-10.20303019095382,-13.36823526698713,39.600934980201814,57.359784987268156,,0.23915592028135987,-25.83950492036116,57.19636750989137,-37.48051521619074,-32.12219036321818,,3214.292937704721,2607.827400000001,0.6,0.6816,0.5,0.6816,2493.93
2015-09-30,-18.009851401134142,-8.811169219275302,,-12.452372555510722,-6.668678007947587,,-12.598653890918095,-49.99999999999999,69.78477530611084,-8.273031696303118,-12.598653890918094,41.3207964839557,53.32748454796842,,0.3332356389214537,-16.86356508102456,53.92274405363228,-40.27710172121448,-26.13796085835811,,3410.216642037771,2860.127400000001,0.6816,0.74,0.5046,0.7137,252.3
