,Date,Equity
0,2020-01-01,994.9389517947159
1,2020-01-02,994.9389517947159
2,2020-01-03,1013.3204555716744
3,2020-01-04,1013.3204555716743
4,2020-01-05,1006.789783921147
5,2020-01-06,1026.8252232811794
6,2020-01-07,1016.2079736335784
7,2020-01-08,1016.2079736335784
8,2020-01-10,1016.2079736335784
9,2020-01-11,1004.9658515834558
10,2020-01-12,1003.8818331456116
11,2020-01-13,1001.0120465023485
12,2020-01-14,1078.564567209795
13,2020-01-15,1046.13072671768
14,2020-01-16,1019.4775673006891
15,2020-01-17,1021.7974511216057
16,2020-01-18,1020.4961053112149
17,2020-01-19,1002.4695119335465
18,2020-01-20,1002.4695119335465
19,2020-01-21,1002.4695119335465
20,2020-01-22,1002.4695119335465
21,2020-01-24,1002.4695119335465
22,2020-01-25,996.355778273392
23,2020-01-26,996.3557782733919
24,2020-01-27,992.5535755141175
25,2020-01-28,992.5535755141175
26,2020-01-29,992.5535755141175
27,2020-01-30,1002.3079813424458
28,2020-01-31,998.9938158319721
29,2020-02-01,990.9569853834737
30,2020-02-02,981.5646093108946
31,2020-02-03,981.5646093108946
32,2020-02-04,980.9389538806106
33,2020-02-05,993.7041710562532
34,2020-02-07,993.7041710562532
35,2020-02-08,993.7041710562532
36,2020-02-09,993.7041710562532
37,2020-02-10,996.6577435135953
38,2020-02-11,944.8044364233937
39,2020-02-12,959.1617150165371
40,2020-02-13,959.1617150165371
41,2020-02-14,929.4326681950906
42,2020-02-15,957.2217764289483
43,2020-02-16,950.6871819489922
44,2020-02-17,915.4420161689997
45,2020-02-18,915.4420161689998
46,2020-02-19,934.1311220983032
47,2020-02-21,934.1311220983032
48,2020-02-22,928.7317066019591
49,2020-02-23,934.4696899125488
50,2020-02-24,935.7897856762195
51,2020-02-25,950.5985210063691
52,2020-02-26,1003.7692545504731
53,2020-02-27,1003.7692545504731
54,2020-02-28,1003.7692545504731
55,2020-02-29,1003.7692545504731
56,2020-03-01,1003.7692545504731
57,2020-03-02,1009.1274382273559
58,2020-03-03,1009.1376205436247
59,2020-03-04,1003.0319210809357
60,2020-03-05,1000.4155253477222
61,2020-03-06,1000.4155253477222
62,2020-03-07,1000.4155253477222
63,2020-03-08,1074.0093007770715
64,2020-03-09,1047.6677683108944
65,2020-03-10,1047.6677683108944
66,2020-03-11,1031.1733922375888
67,2020-03-12,1379.7958494861164
68,2020-03-13,1463.5066616098165
69,2020-03-14,1518.9235513438507
70,2020-03-15,1520.0765088887076
71,2020-03-16,1449.2829057967097
72,2020-03-17,1419.702144266465
73,2020-03-18,1419.702144266465
74,2020-03-19,1490.8087130459523
75,2020-03-20,1414.4948492903452
76,2020-03-21,1414.4948492903452
77,2020-03-22,1414.4948492903452
78,2020-03-23,1467.096982511221
79,2020-03-24,1467.096982511221
80,2020-03-25,1467.096982511221
81,2020-03-27,1467.096982511221
82,2020-03-28,1467.096982511221
83,2020-03-29,1467.096982511221
84,2020-03-30,1473.127472365219
85,2020-03-31,1473.127472365219
86,2020-04-01,1473.127472365219
87,2020-04-02,1473.127472365219
88,2020-04-03,1473.127472365219
89,2020-04-04,1473.127472365219
90,2020-04-05,1473.127472365219
91,2020-04-06,1539.3084794196786
92,2020-04-07,1539.3084794196784
93,2020-04-08,1539.3084794196784
94,2020-04-10,1542.8810293404877
95,2020-04-11,1542.8810293404877
96,2020-04-12,1542.8810293404877
97,2020-04-13,1542.8810293404877
98,2020-04-14,1542.8810293404877
99,2020-04-15,1542.8810293404877
100,2020-04-16,1591.0320565607558
101,2020-04-17,1591.0320565607558
102,2020-04-18,1597.3765253837419
103,2020-04-19,1597.3765253837419
104,2020-04-20,1597.3765253837419
105,2020-04-21,1597.3765253837419
106,2020-04-22,1593.493128665466
107,2020-04-24,1593.493128665466
108,2020-04-25,1593.493128665466
109,2020-04-26,1593.493128665466
110,2020-04-27,1593.493128665466
111,2020-04-28,1593.493128665466
112,2020-04-29,1626.7937192910413
113,2020-04-30,1592.0682971640413
114,2020-05-01,1592.0682971640413
115,2020-05-02,1592.0682971640413
116,2020-05-03,1592.0682971640413
117,2020-05-04,1538.955428386067
118,2020-05-05,1538.955428386067
119,2020-05-06,1538.955428386067
120,2020-05-07,1561.860260304135
121,2020-05-08,1561.860260304135
122,2020-05-09,1561.860260304135
123,2020-05-10,1571.9059629339254
124,2020-05-11,1571.9059629339254
125,2020-05-12,1565.7461898237075
126,2020-05-13,1572.2401598311947
127,2020-05-15,1578.9218853761258
128,2020-05-16,1578.9218853761258
129,2020-05-17,1568.0983101474053
130,2020-05-18,1562.7289284117219
131,2020-05-19,1562.7289284117219
132,2020-05-20,1534.9958014944655
133,2020-05-21,1530.6720531887916
134,2020-05-22,1531.487598973672
135,2020-05-23,1531.487598973672
136,2020-05-24,1531.487598973672
137,2020-05-25,1531.487598973672
138,2020-05-26,1518.3105863835178
139,2020-05-27,1518.4521198712937
140,2020-05-29,1518.4521198712937
141,2020-05-30,1555.4644217645864
142,2020-05-31,1564.1056906615286
143,2020-06-01,1564.1056906615286
144,2020-06-02,1540.6290489460812
145,2020-06-03,1540.6290489460812
146,2020-06-04,1540.6290489460812
147,2020-06-05,1540.6290489460812
148,2020-06-06,1540.6290489460812
149,2020-06-07,1540.6290489460812
150,2020-06-08,1540.6290489460812
151,2020-06-09,1540.6290489460812
152,2020-06-10,1540.6290489460812
153,2020-06-11,1582.602189520237
154,2020-06-12,1578.2009776515283
155,2020-06-13,1578.2009776515283
156,2020-06-14,1578.2009776515283
157,2020-06-15,1544.3181935746281
158,2020-06-16,1544.318193574628
159,2020-06-17,1544.318193574628
160,2020-06-19,1544.318193574628
161,2020-06-20,1544.318193574628
162,2020-06-21,1544.318193574628
163,2020-06-22,1560.0547585140043
