Date,Equity
2020-01-01,1000.0
2020-01-02,1000.0
2020-01-03,1005.2528075881343
2020-01-04,1005.2528075881344
2020-01-05,1005.2528075881344
2020-01-06,1015.0354183385286
2020-01-07,1015.0354183385286
2020-01-08,1015.0354183385286
2020-01-10,1015.0354183385286
2020-01-11,1015.0354183385286
2020-01-12,1015.0354183385286
2020-01-13,1011.4228362129741
2020-01-14,1089.7819236220255
2020-01-15,1079.1866696288212
2020-01-16,1051.6913159299988
2020-01-17,1046.8959124179112
2020-01-18,1046.8959124179112
2020-01-19,1017.071406550896
2020-01-20,1017.071406550896
2020-01-21,1017.071406550896
2020-01-22,1017.071406550896
2020-01-24,1017.071406550896
2020-01-25,1013.6044793929927
2020-01-26,1013.6044793929927
2020-01-27,1013.6260412922783
2020-01-28,1013.6260412922782
2020-01-29,1013.6260412922782
2020-01-30,1023.5875385946333
2020-01-31,1020.2030115026537
2020-02-01,1011.9955546630274
2020-02-02,1002.4037732099755
2020-02-03,1002.4037732099755
2020-02-04,1002.4037732099755
2020-02-05,1015.4483177375307
2020-02-07,1015.4483177375307
2020-02-08,1015.4483177375307
2020-02-09,1014.8742518982688
2020-02-10,1015.0438201252493
2020-02-11,962.4748691168334
2020-02-12,977.100668173324
2020-02-13,977.100668173324
2020-02-14,967.1614359224332
2020-02-15,997.6886376277203
2020-02-16,997.6886376277203
2020-02-17,960.7009700776905
2020-02-18,960.7009700776905
2020-02-19,980.314055209291
2020-02-21,980.314055209291
2020-02-22,980.314055209291
2020-02-23,986.3707297558166
2020-02-24,987.764144476289
2020-02-25,1003.3953663682769
2020-02-26,1064.866969277488
2020-02-27,1064.866969277488
2020-02-28,1064.866969277488
2020-02-29,1064.866969277488
2020-03-01,1064.866969277488
2020-03-02,1070.551296414395
2020-03-03,1068.8076089941144
2020-03-04,1062.3408814525947
2020-03-05,1059.5697790668846
2020-03-06,1071.9709208095305
2020-03-07,1071.9709208095305
2020-03-08,1164.5593314045109
2020-03-09,1137.3651768682876
2020-03-10,1120.1906775409605
2020-03-11,1102.55450807193
2020-03-12,1475.309725330208
2020-03-13,1564.8152672459778
2020-03-14,1663.7010012928085
2020-03-15,1664.9638539361363
2020-03-16,1587.4225002287171
2020-03-17,1555.0222240375087
2020-03-18,1467.833324473865
2020-03-19,1541.3505700912208
2020-03-20,1445.1991880800852
2020-03-21,1445.1991880800852
2020-03-22,1497.9015024082519
2020-03-23,1553.6053562759132
2020-03-24,1553.6053562759134
2020-03-25,1535.6367743579447
2020-03-27,1535.6367743579447
2020-03-28,1513.6001871248588
2020-03-29,1513.6001871248588
2020-03-30,1527.2146420672173
2020-03-31,1527.2146420672173
2020-04-01,1469.6217891259762
2020-04-02,1469.6217891259762
2020-04-03,1469.6217891259762
2020-04-04,1469.6217891259762
2020-04-05,1469.6217891259762
2020-04-06,1577.113128025846
2020-04-07,1577.113128025846
2020-04-08,1577.113128025846
2020-04-10,1580.7734179910906
2020-04-11,1580.7734179910906
2020-04-12,1580.7734179910906
2020-04-13,1531.5932530019252
2020-04-14,1531.5932530019252
2020-04-15,1534.8942829865375
2020-04-16,1565.2542675644524
2020-04-17,1565.2542675644527
2020-04-18,1571.4959437517164
2020-04-19,1563.0641775004356
2020-04-20,1563.0641775004356
2020-04-21,1563.0641775004356
2020-04-22,1557.1635244529812
2020-04-24,1557.1635244529812
2020-04-25,1557.1635244529812
2020-04-26,1557.1635244529812
2020-04-27,1557.1635244529812
2020-04-28,1557.1635244529812
2020-04-29,1601.8877982412505
2020-04-30,1578.7351191093962
2020-05-01,1578.7351191093962
2020-05-02,1578.7351191093962
2020-05-03,1570.4619983832667
2020-05-04,1518.0699356875225
2020-05-05,1518.0699356875225
2020-05-06,1518.0699356875225
2020-05-07,1518.0699356875225
2020-05-08,1518.0699356875225
2020-05-09,1518.0699356875225
2020-05-10,1527.8339840679917
2020-05-11,1527.8339840679917
2020-05-12,1527.8339840679917
2020-05-13,1530.0979277144513
2020-05-15,1530.0979277144513
2020-05-16,1530.0979277144513
2020-05-17,1511.9585531086652
2020-05-18,1506.194529551116
2020-05-19,1506.194529551116
2020-05-20,1495.3818009463075
2020-05-21,1491.169636638182
2020-05-22,1494.1923761627806
2020-05-23,1494.1923761627806
2020-05-24,1494.1923761627806
2020-05-25,1494.1923761627806
2020-05-26,1494.1923761627806
2020-05-27,1494.1923761627806
2020-05-29,1494.1923761627806
2020-05-30,1523.5538955512593
2020-05-31,1523.5538955512593
2020-06-01,1523.5538955512593
