,0,1,accuracy,macro avg,weighted avg
precision,0.7910863509749304,0.2857142857142857,0.7814207650273224,0.538400318344608,0.6847649055512429
recall,0.9826989619377162,0.025974025974025976,0.7814207650273224,0.5043364939558711,0.7814207650273224
f1-score,0.8765432098765432,0.04761904761904762,0.7814207650273224,0.46208112874779544,0.702152060986305
support,289.0,77.0,0.7814207650273224,366.0,366.0
