,0,1,accuracy,macro avg,weighted avg
precision,0.7272727272727273,0.19767441860465115,0.22950819672131148,0.46247357293868924,0.6201954736075972
recall,0.0547945205479452,0.918918918918919,0.22950819672131148,0.4868567197334321,0.22950819672131148
f1-score,0.1019108280254777,0.3253588516746411,0.22950819672131148,0.2136348398500594,0.1470888437359643
support,292.0,74.0,0.22950819672131148,366.0,366.0
