,-1,0,1,accuracy,macro avg,weighted avg
precision,0.0,0.8022598870056498,0.16666666666666666,0.7814207650273224,0.3229755178907721,0.661912259578278
recall,0.0,0.9726027397260274,0.041666666666666664,0.7814207650273224,0.338089802130898,0.7814207650273224
f1-score,0.0,0.8792569659442725,0.06666666666666667,0.7814207650273224,0.3153078775369797,0.7102268690047201
support,26.0,292.0,48.0,0.7814207650273224,366.0,366.0
