,0,1,accuracy,macro avg,weighted avg
precision,0.8153846153846154,0.2682926829268293,0.7540983606557377,0.5418386491557223,0.7092547596346077
recall,0.8983050847457628,0.15492957746478872,0.7540983606557377,0.5266173311052758,0.7540983606557377
f1-score,0.8548387096774194,0.19642857142857142,0.7540983606557377,0.5256336405529954,0.7271143385963587
support,295.0,71.0,0.7540983606557377,366.0,366.0
