metric,-1,0,1,accuracy,macro avg,weighted avg
precision,0.2222222222222222,0.6226415094339622,0.23076923076923078,0.5710382513661202,0.35854432080847176,0.4668509309709434
recall,0.028985507246376812,0.8918918918918919,0.12,0.5710382513661202,0.34695913304608955,0.5710382513661202
f1-score,0.05128205128205128,0.7333333333333333,0.15789473684210525,0.5710382513661202,0.3141700404858299,0.4868321497312006
support,69.0,222.0,75.0,0.5710382513661202,366.0,366.0
