,0,1,accuracy,macro avg,weighted avg
precision,0.8214285714285714,0.1967741935483871,0.2923497267759563,0.5091013824884792,0.7002524489436177
recall,0.15593220338983052,0.8591549295774648,0.2923497267759563,0.5075435664836476,0.2923497267759563
f1-score,0.2621082621082621,0.32020997375328086,0.2923497267759563,0.2911591179307715,0.2733793591760117
support,295.0,71.0,0.2923497267759563,366.0,366.0
