metric,-1,0,1,accuracy,macro avg,weighted avg
precision,0.28125,0.6184615384615385,0.2222222222222222,0.5792349726775956,0.37397792022792026,0.4696380365232825
recall,0.140625,0.9178082191780822,0.024096385542168676,0.5792349726775956,0.36084320157341704,0.5792349726775956
f1-score,0.1875,0.7389705882352942,0.043478260869565216,0.5792349726775956,0.32331628303495313,0.4848176351795173
support,64.0,219.0,83.0,0.5792349726775956,366.0,366.0
