,-1,0,1,accuracy,macro avg,weighted avg
precision,0.06906077348066299,0.6666666666666666,0.0,0.07377049180327869,0.24524248004910987,0.5367820950195735
recall,0.9615384615384616,0.00684931506849315,0.0,0.07377049180327869,0.32279592553565156,0.07377049180327869
f1-score,0.12886597938144329,0.013559322033898305,0.0,0.07377049180327869,0.04747510047178053,0.0199722336005897
support,26.0,292.0,48.0,0.07377049180327869,366.0,366.0
