,-1,0,1,accuracy,macro avg,weighted avg
precision,0.08123249299719888,0.6,0.25,0.09016393442622951,0.3104108309990663,0.5116104911910119
recall,0.90625,0.010380622837370242,0.022222222222222223,0.09016393442622951,0.31295094835319753,0.09016393442622951
f1-score,0.14910025706940874,0.020408163265306117,0.04081632653061225,0.09016393442622951,0.07010824895510903,0.03416913143107131
support,32.0,289.0,45.0,0.09016393442622951,366.0,366.0
