,-1,0,1,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.12295081967213115,0.12295081967213115,0.040983606557377046,0.01511690405804891
recall,0.0,0.0,1.0,0.12295081967213115,0.3333333333333333,0.12295081967213115
f1-score,0.0,0.0,0.218978102189781,0.12295081967213115,0.072992700729927,0.02692353715448127
support,32.0,289.0,45.0,0.12295081967213115,366.0,366.0
