,-1,0,1,accuracy,macro avg,weighted avg
precision,0.07407407407407407,0.7536231884057971,0.11522633744855967,0.22950819672131148,0.3143078666428103,0.6267453536269038
recall,0.14814814814814814,0.17627118644067796,0.6363636363636364,0.22950819672131148,0.3202609903174875,0.22950819672131148
f1-score,0.09876543209876543,0.2857142857142857,0.19512195121951217,0.22950819672131148,0.19320055634418776,0.26103209509846853
support,27.0,295.0,44.0,0.22950819672131148,366.0,366.0
