,0,1,accuracy,macro avg,weighted avg
precision,0.7972602739726027,0.0,0.7950819672131147,0.39863013698630134,0.6360655737704918
recall,0.9965753424657534,0.0,0.7950819672131147,0.4982876712328767,0.7950819672131147
f1-score,0.8858447488584474,0.0,0.7950819672131147,0.4429223744292237,0.7067395264116575
support,292.0,74.0,0.7950819672131147,366.0,366.0
