,0,1,accuracy,macro avg,weighted avg
precision,0.8090909090909091,0.2222222222222222,0.7513661202185792,0.5156565656565657,0.6952447977038141
recall,0.9050847457627119,0.11267605633802817,0.7513661202185792,0.50888040105037,0.7513661202185792
f1-score,0.8543999999999999,0.14953271028037382,0.7513661202185792,0.5019663551401868,0.7176634492620396
support,295.0,71.0,0.7513661202185792,366.0,366.0
