metric,-1,0,1,accuracy,macro avg,weighted avg
precision,0.19090909090909092,0.6394849785407726,0.17391304347826086,0.47540983606557374,0.33476903764270816,0.46418359039076756
recall,0.35,0.6592920353982301,0.05,0.47540983606557374,0.3530973451327433,0.47540983606557374
f1-score,0.24705882352941178,0.6492374727668846,0.07766990291262137,0.47540983606557374,0.3246553997363059,0.4583737445084435
support,60.0,226.0,80.0,0.47540983606557374,366.0,366.0
