,0,1,accuracy,macro avg,weighted avg
precision,0.0,0.2103825136612022,0.2103825136612022,0.1051912568306011,0.044260802054405926
recall,0.0,1.0,0.2103825136612022,0.5,0.2103825136612022
f1-score,0.0,0.34762979683972917,0.2103825136612022,0.17381489841986458,0.07313523048267526
support,289.0,77.0,0.2103825136612022,366.0,366.0
