metric,-1,0,1,accuracy,macro avg,weighted avg
precision,0.24390243902439024,0.6771300448430493,0.18032786885245902,0.4972677595628415,0.3671201175732995,0.4936522634201483
recall,0.2898550724637681,0.6801801801801802,0.14666666666666667,0.4972677595628415,0.3722339731035384,0.4972677595628415
f1-score,0.2649006622516557,0.6786516853932585,0.16176470588235295,0.4972677595628415,0.3684390178424224,0.4947299803110494
support,69.0,222.0,75.0,0.4972677595628415,366.0,366.0
