,-1,0,1,accuracy,macro avg,weighted avg
precision,1.0,0.7939560439560439,0.0,0.7950819672131147,0.597985347985348,0.7143532696811385
recall,0.0625,1.0,0.0,0.7950819672131147,0.3541666666666667,0.7950819672131147
f1-score,0.11764705882352941,0.885145482388974,0.0,0.7950819672131147,0.3342641804041678,0.7092124324938973
support,32.0,289.0,45.0,0.7950819672131147,366.0,366.0
