metric,-1,0,1,accuracy,macro avg,weighted avg
precision,0.3023255813953488,0.625,0.2727272727272727,0.5765027322404371,0.4000176180408738,0.49198090319897414
recall,0.18840579710144928,0.8783783783783784,0.04,0.5765027322404371,0.3689280584932759,0.5765027322404371
f1-score,0.23214285714285712,0.7303370786516854,0.06976744186046512,0.5765027322404371,0.34408245921833586,0.501052586729689
support,69.0,222.0,75.0,0.5765027322404371,366.0,366.0
