,-1,0,1,accuracy,macro avg,weighted avg
precision,0.05,0.0,0.12427745664739884,0.12021857923497267,0.058092485549132954,0.019850595407309136
recall,0.038461538461538464,0.0,0.8958333333333334,0.12021857923497267,0.31143162393162394,0.12021857923497267
f1-score,0.043478260869565216,0.0,0.2182741116751269,0.12021857923497267,0.08725079084823069,0.03171473263118794
support,26.0,292.0,48.0,0.12021857923497267,366.0,366.0
