metric,0,1,accuracy,macro avg,weighted avg
precision,0.5990566037735849,0.38311688311688313,0.5081967213114754,0.49108674344523406,0.5140967136791448
recall,0.5720720720720721,0.4097222222222222,0.5081967213114754,0.49089714714714716,0.5081967213114754
f1-score,0.5852534562211982,0.39597315436241615,0.5081967213114754,0.49061330529180713,0.5107825177849561
support,222.0,144.0,0.5081967213114754,366.0,366.0
