,-1,0,1,accuracy,macro avg,weighted avg
precision,0.08333333333333333,0.0,0.12056737588652482,0.11202185792349727,0.06796690307328605,0.022109832190055415
recall,0.21875,0.0,0.7555555555555555,0.11202185792349727,0.3247685185185185,0.11202185792349727
f1-score,0.12068965517241378,0.0,0.20795107033639143,0.11202185792349727,0.10954690850293507,0.03611985554823731
support,32.0,289.0,45.0,0.11202185792349727,366.0,366.0
