metric,0,1,accuracy,macro avg,weighted avg
precision,0.5942028985507246,0.39622641509433965,0.5081967213114754,0.49521465682253213,0.514687753555947
recall,0.5616438356164384,0.42857142857142855,0.5081967213114754,0.4951076320939335,0.5081967213114754
f1-score,0.5774647887323944,0.4117647058823529,0.5081967213114754,0.49461474730737365,0.5109131161122957
support,219.0,147.0,0.5081967213114754,366.0,366.0
