,0,1,accuracy,macro avg,weighted avg
precision,0.7896174863387978,0.0,0.7896174863387978,0.3948087431693989,0.6234957747320016
recall,1.0,0.0,0.7896174863387978,0.5,0.7896174863387978
f1-score,0.882442748091603,0.0,0.7896174863387978,0.4412213740458015,0.6967922245859924
support,289.0,77.0,0.7896174863387978,366.0,366.0
