,-1,0,1,accuracy,macro avg,weighted avg
precision,0.17647058823529413,0.8022922636103151,0.0,0.773224043715847,0.32625428394853645,0.6526163286019936
recall,0.11538461538461539,0.958904109589041,0.0,0.773224043715847,0.35809624165788545,0.773224043715847
f1-score,0.13953488372093026,0.8736349453978158,0.0,0.773224043715847,0.3377232763729154,0.706910685882258
support,26.0,292.0,48.0,0.773224043715847,366.0,366.0
