,0
BTC allocations,60.0
BTC returns,0.029928388260726857
BTC positions,0.0
ETH allocations,3.0
ETH returns,0.0333880678708266
ETH positions,-1.0
LTC allocations,7.0
LTC returns,0.008626887131560235
LTC positions,1.0
