,0
BTC allocations,17.0
BTC returns,0.0923118497787272
BTC positions,0.0
ETH allocations,11.0
ETH returns,0.09774919663614567
ETH positions,3.0
LTC allocations,-1.0
LTC returns,0.0
LTC positions,0.0
