,0
BTC allocations,217.0
BTC returns,0.5784992132058625
BTC positions,11.0
ETH allocations,348.0
ETH returns,1.041749506596663
ETH positions,4.0
LTC allocations,326.0
LTC returns,1.2450595824169945
LTC positions,0.0
