,0
BTC allocations,39.0
BTC returns,-0.003659064573274473
BTC positions,-3.0
ETH allocations,0.0
ETH returns,0.0
ETH positions,0.0
LTC allocations,14.0
LTC returns,0.05238714471484307
LTC positions,-1.0
