,0
BTC allocations,91.0
BTC returns,0.4603569866801869
BTC positions,3.0
ETH allocations,1.0
ETH returns,0.0
ETH positions,0.0
LTC allocations,0.0
LTC returns,0.0
LTC positions,0.0
