,0
BTC allocations,-130.0
BTC returns,0.18758442294530986
BTC positions,-4.0
ETH allocations,-343.0
ETH returns,0.5376264963879065
ETH positions,-18.0
LTC allocations,-335.0
LTC returns,0.6644677160228365
LTC positions,-23.0
