,0
BTC allocations,23.0
BTC returns,0.37384826474119737
BTC positions,-1.0
ETH allocations,-5.0
ETH returns,-0.03379888268156428
ETH positions,-1.0
LTC allocations,0.0
LTC returns,0.0
LTC positions,0.0
