,0
BTC allocations,-47.0
BTC returns,0.029071042476371822
BTC positions,0.0
ETH allocations,0.0
ETH returns,0.0
ETH positions,0.0
LTC allocations,-2.0
LTC returns,0.0
LTC positions,0.0
