,0
BTC allocations,-58.0
BTC returns,0.018947941764988152
BTC positions,-3.0
ETH allocations,0.0
ETH returns,0.0
ETH positions,0.0
LTC allocations,0.0
LTC returns,0.0
LTC positions,0.0
