,0
BTC allocations,321.0
BTC returns,0.1688167068716101
BTC positions,19.0
ETH allocations,348.0
ETH returns,0.46493201312053767
ETH positions,23.0
LTC allocations,348.0
LTC returns,0.7132882745003296
LTC positions,25.0
