Date,Open,Close,High,Low,Volume
2021-01-10,177.89,170.19,186.22,161.35,144143.39169905
2021-01-09,172.47,177.89,179.51,163.61,127573.87213592
2021-01-08,169.8,172.34,182.0,150.25,220620.92138411
2021-01-07,169.33,169.79,181.25,162.26,191731.5253738
2021-01-06,158.94,169.16,169.9,155.37,119131.20318837
2021-01-05,155.69,158.8,163.42,146.66,123165.47034687
2021-01-04,161.62,155.65,174.34,139.12,278517.08914431
2021-01-03,136.98,161.37,164.85,110.0,286331.56194895
2021-01-02,126.44,136.92,141.68,123.58,169333.65047562
2021-01-01,124.45,126.45,133.97,123.21,91396.48988887
2020-12-31,130.14,124.55,130.38,122.08,117733.28254579
2020-12-30,128.71,130.02,132.78,122.62,112857.53312793
2020-12-29,129.64,128.69,130.5,119.72,131838.13371553
2020-12-28,127.65,129.64,137.01,126.33,113346.20028185
2020-12-27,129.52,127.66,139.21,121.7,245344.02370167
2020-12-26,127.77,129.48,134.93,124.83,172623.25540895
2020-12-25,111.32,127.74,128.48,108.33,166893.59232845
2020-12-24,102.46,111.28,112.16,98.55,114843.90235152
2020-12-23,114.37,102.45,117.22,95.57,193962.2993675
2020-12-22,104.5,114.6,114.63,98.36,148599.34280762
2020-12-21,114.63,104.53,118.52,101.0,197160.8590015
2020-12-20,120.17,114.73,123.14,109.64,154349.06384287
2020-12-19,109.49,120.06,124.4,105.55,159020.17134855
2020-12-18,101.06,109.47,112.81,99.41,137352.54260818
2020-12-17,93.12,101.27,109.82,90.22,247653.28393587
2020-12-16,81.36,93.16,93.28,78.5,110395.50761539
2020-12-15,82.41,81.34,84.92,80.44,56711.022006
2020-12-14,82.22,82.43,82.92,79.21,52994.48645393
2020-12-13,76.7,82.21,84.24,75.68,62601.28859419
2020-12-12,72.22,76.59,77.6,72.11,38218.27959181
2020-12-11,74.69,72.28,75.0,70.0,78713.70636336
2020-12-10,77.44,74.65,77.61,73.18,42244.8478609
2020-12-09,76.66,77.4,78.19,72.13,58406.73110009
2020-12-08,83.45,76.73,84.82,75.36,61165.01488025
2020-12-07,83.74,83.6,86.84,81.81,40241.56451991
2020-12-06,83.13,83.68,85.19,80.44,32156.57118282
2020-12-05,79.63,83.13,84.42,78.71,42064.87045581
2020-12-04,89.05,79.64,89.86,77.89,66565.98761386
2020-12-03,88.9,89.06,91.48,85.62,56967.45534805
2020-12-02,85.16,89.01,90.55,82.84,65881.54788761
2020-12-01,87.83,85.16,92.95,79.01,217015.97346557
2020-11-30,79.1,87.67,88.56,76.73,124261.0034714
2020-11-29,72.78,78.98,81.04,71.65,69268.09114137
2020-11-28,69.19,72.87,74.93,68.44,75305.27709007
2020-11-27,71.02,69.18,73.51,65.28,109996.14977093
2020-11-26,81.75,70.98,83.23,64.59,183589.64078612
2020-11-25,89.41,81.91,90.67,78.28,85148.9878771
2020-11-24,89.13,89.39,94.0,85.79,144911.88974673
2020-11-23,82.99,89.15,90.82,81.0,116204.58295029
2020-11-22,87.19,83.0,88.01,78.01,78282.76299911
2020-11-21,82.64,87.26,88.41,80.35,99495.67566992
2020-11-20,81.64,82.61,85.76,80.12,93874.84449247
